id year bid n1 n2 imps hand suit hcp suitq
ec_10659 2008 24 6 8 30 1 1 7 10
ec_10663 2008 0 8 5 -206 2 1 8 14
ec_10663 2008 24 4 9 305 2 1 8 14
ec_10663 2008 22 1 12 -99 2 1 8 14
ec_10669 2008 0 9 5 -343 1 1 8 7
ec_10669 2008 24 4 10 276 1 1 8 7
ec_10669 2008 22 1 13 67 1 1 8 7
ec_10691 2008 0 4 1 -3 1 1 6 3
ec_10691 2008 24 1 4 3 1 1 6 3
ec_10950 2008 0 11 2 -2 1 1 6 2
ec_10950 2008 24 1 12 -36 1 1 6 2
ec_10950 2008 11 1 12 38 1 1 6 2
ec_11198 2008 22 1 15 -34 1 1 5 4
ec_11198 2008 0 14 2 -92 1 1 5 4
ec_11198 2008 24 1 15 126 1 1 5 4
ec_12667 2008 0 1 4 8 3 1 10 0
ec_12667 2008 14 4 1 -8 3 1 10 0
ec_12853 2008 0 7 5 105 1 1 9 7
ec_12853 2008 14 2 10 -66 1 1 9 7
ec_12853 2008 24 3 9 -39 1 1 9 7
ec_12859 2008 0 6 6 6 1 1 8 7
ec_12859 2008 24 5 7 -5 1 1 8 7
ec_12859 2008 22 1 11 -1 1 1 8 7
ec_13090 2008 14 6 6 -84 1 1 10 8
ec_13090 2008 0 5 7 117 1 1 10 8
ec_13090 2008 24 1 11 -33 1 1 10 8
ec_13574 2008 0 10 1 32 1 1 8 7
ec_13574 2008 24 1 10 -32 1 1 8 7
ec_14474 2008 0 5 9 229 1 1 9 14
ec_14474 2008 23 1 13 -109 1 1 9 14
ec_14474 2008 14 2 12 39 1 1 9 14
ec_14474 2008 24 6 8 -159 1 1 9 14
ec_14800 2008 0 3 4 -20 1 1 10 12
ec_14800 2008 14 3 4 80 1 1 10 12
ec_14800 2008 24 1 6 -60 1 1 10 12
ec_14991 2008 12 1 5 -1 3 1 8 4
ec_14991 2008 0 2 4 -31 3 1 8 4
ec_14991 2008 14 3 3 32 3 1 8 4
ec_15237 2008 0 11 1 80 1 1 5 3
ec_15237 2008 24 1 11 -80 1 1 5 3
ec_15251 2008 0 5 7 -85 1 1 10 6
ec_15251 2008 14 5 7 27 1 1 10 6
ec_15251 2008 24 1 11 29 1 1 10 6
ec_15251 2008 15 1 11 29 1 1 10 6
ec_15483 2008 0 5 7 -60 1 1 10 9
ec_15483 2008 14 5 7 20 1 1 10 9
ec_15483 2008 24 1 11 -1 1 1 10 9
ec_15483 2008 22 1 11 41 1 1 10 9
ec_15499 2008 0 11 1 4 1 1 7 12
ec_15499 2008 24 1 11 -4 1 1 7 12
ec_15733 2008 22 2 12 6 1 1 9 8
ec_15733 2008 24 6 8 4 1 1 9 8
ec_15733 2008 0 6 8 -10 1 1 9 8
ec_15999 2008 0 5 1 19 3 1 6 6
ec_15999 2008 14 1 5 -19 3 1 6 6
ec_16003 2008 0 10 2 105 1 1 9 12
ec_16003 2008 14 1 11 -130 1 1 9 12
ec_16003 2008 22 1 11 25 1 1 9 12
ec_16228 2008 0 8 4 32 1 1 7 9
ec_16228 2008 24 4 8 -32 1 1 7 9
ec_16254 2008 0 9 1 1 2 1 8 5
ec_16254 2008 24 1 9 -1 2 1 8 5
ec_16684 2008 24 1 8 -50 1 1 10 9
ec_16684 2008 0 6 3 -28 1 1 10 9
ec_16684 2008 14 1 8 77 1 1 10 9
ec_16684 2008 15 1 8 1 1 1 10 9
ec_17115 2008 0 4 4 20 3 1 6 7
ec_17115 2008 24 1 7 42 3 1 6 7
ec_17115 2008 14 2 6 4 3 1 6 7
ec_17115 2008 22 1 7 -66 3 1 6 7
ec_17135 2008 0 7 4 -26 1 1 9 9
ec_17135 2008 24 3 8 -10 1 1 9 9
ec_17135 2008 14 1 10 36 1 1 9 9
ec_18058 2008 22 2 9 14 2 1 8 13
ec_18058 2008 0 6 5 -35 2 1 8 13
ec_18058 2008 24 3 8 21 2 1 8 13
ec_18941 2008 14 2 3 -57 3 1 10 5
ec_18941 2008 0 2 3 8 3 1 10 5
ec_18941 2008 24 1 4 49 3 1 10 5
ec_18949 2008 0 5 1 -25 1 1 7 6
ec_18949 2008 24 1 5 25 1 1 7 6
ec_19330 2009 0 3 1 -4 2 1 9 3
ec_19330 2009 24 1 3 4 2 1 9 3
ec_19498 2009 0 2 1 10 1 1 10 4
ec_19498 2009 14 1 2 -10 1 1 10 4
ec_19500 2009 14 3 1 2 2 1 10 10
ec_19500 2009 0 1 3 -2 2 1 10 10
ec_19618 2009 24 1 3 44 1 1 9 13
ec_19618 2009 0 3 1 -44 1 1 9 13
ec_19722 2009 0 1 3 12 2 1 8 6
ec_19722 2009 24 3 1 -12 2 1 8 6
ec_19834 2009 0 3 1 -41 1 1 10 7
ec_19834 2009 14 1 3 41 1 1 10 7
ec_20059 2009 24 1 3 2 1 1 8 13
ec_20059 2009 0 3 1 -2 1 1 8 13
ec_20259 2009 0 3 1 3 1 1 9 7
ec_20259 2009 24 1 3 -3 1 1 9 7
ec_20297 2009 0 3 1 -13 1 1 6 7
ec_20297 2009 24 1 3 13 1 1 6 7
ec_20783 2009 24 3 1 -8 1 1 7 10
ec_20783 2009 0 1 3 8 1 1 7 10
ec_20795 2009 14 3 1 3 1 1 10 6
ec_20795 2009 24 1 3 -3 1 1 10 6
ec_20895 2009 0 2 2 0 1 1 8 7
ec_20895 2009 24 2 2 0 1 1 8 7
ec_20981 2009 0 3 1 6 2 1 9 5
ec_20981 2009 24 1 3 -6 2 1 9 5
ec_20995 2009 0 1 3 16 2 1 10 11
ec_20995 2009 14 3 1 -16 2 1 10 11
ol_69 1992 0 5 1 52 1 1 6 9
ol_69 1992 23 1 5 -52 1 1 6 9
ol_1318 1992 0 7 2 -26 2 1 6 7
ol_1318 1992 22 1 8 13 2 1 6 7
ol_1318 1992 24 1 8 13 2 1 6 7
ol_1562 1992 14 6 4 -19 3 1 9 11
ol_1562 1992 23 1 9 -10 3 1 9 11
ol_1562 1992 24 1 9 48 3 1 9 11
ol_1562 1992 0 1 9 -9 3 1 9 11
ol_1562 1992 22 1 9 -10 3 1 9 11
ol_1794 1992 0 5 7 -54 1 1 6 6
ol_1794 1992 24 3 9 69 1 1 6 6
ol_1794 1992 22 3 9 -119 1 1 6 6
ol_1794 1992 23 1 11 104 1 1 6 6
ol_1804 1992 0 11 1 -8 1 1 7 8
ol_1804 1992 24 1 11 8 1 1 7 8
ol_2044 1992 0 7 5 -135 1 1 10 3
ol_2044 1992 14 5 7 135 1 1 10 3
ol_2740 1992 0 11 1 64 1 1 9 8
ol_2740 1992 24 1 11 -64 1 1 9 8
ol_2748 1992 24 4 6 -34 3 1 9 9
ol_2748 1992 23 1 9 10 3 1 9 9
ol_2748 1992 14 4 6 12 3 1 9 9
ol_2748 1992 22 1 9 12 3 1 9 9
ol_2978 1992 14 4 7 -150 2 1 10 11
ol_2978 1992 0 7 4 150 2 1 10 11
ol_3004 1992 14 5 7 139 1 1 9 13
ol_3004 1992 0 7 5 -139 1 1 9 13
ol_3696 1992 0 9 3 -61 1 1 10 4
ol_3696 1992 24 1 11 17 1 1 10 4
ol_3696 1992 14 2 10 44 1 1 10 4
ol_4904 1992 0 5 1 -15 3 1 8 5
ol_4904 1992 14 1 5 15 3 1 8 5
ol_5648 1992 24 3 9 18 1 1 9 11
ol_5648 1992 0 7 5 80 1 1 9 11
ol_5648 1992 22 1 11 -104 1 1 9 11
ol_5648 1992 14 1 11 6 1 1 9 11
ol_6124 1992 23 1 3 -28 2 1 8 9
ol_6124 1992 0 3 1 28 2 1 8 9
ol_6126 1992 0 8 2 68 2 1 7 9
ol_6126 1992 21 1 9 -42 2 1 7 9
ol_6126 1992 22 1 9 -26 2 1 7 9
ol_6350 1992 0 11 1 -37 2 1 10 4
ol_6350 1992 14 1 11 37 2 1 10 4
ol_6354 1992 32 1 11 31 1 1 8 6
ol_6354 1992 0 9 3 93 1 1 8 6
ol_6354 1992 24 1 11 -62 1 1 8 6
ol_6354 1992 22 1 11 -62 1 1 8 6
ol_7306 1992 11 4 7 -59 2 1 9 10
ol_7306 1992 15 5 6 59 2 1 9 10
ol_7306 1992 12 2 9 0 2 1 9 10
ol_7556 1992 0 3 8 156 3 1 10 1
ol_7556 1992 14 3 8 -129 3 1 10 1
ol_7556 1992 24 2 9 -70 3 1 10 1
ol_7556 1992 11 3 8 43 3 1 10 1
ol_8012 1992 0 6 2 -56 1 1 8 3
ol_8012 1992 22 2 6 56 1 1 8 3
ol_8270 1992 24 1 7 79 1 1 5 3
ol_8270 1992 0 7 1 -79 1 1 5 3
ol_8422 1992 0 5 1 2 1 1 7 8
ol_8422 1992 24 1 5 -2 1 1 7 8
ol_8872 2000 0 15 1 -21 1 1 10 4
ol_8872 2000 13 1 15 21 1 1 10 4
ol_9105 2000 0 10 6 -7 1 1 6 10
ol_9105 2000 24 5 11 -24 1 1 6 10
ol_9105 2000 22 1 15 31 1 1 6 10
ol_9125 2000 0 12 4 39 1 1 9 8
ol_9125 2000 24 4 12 -39 1 1 9 8
ol_9359 2000 0 16 2 -158 1 1 10 6
ol_9359 2000 24 2 16 158 1 1 10 6
ol_9639 2000 24 1 10 -33 2 1 8 0
ol_9639 2000 0 10 1 33 2 1 8 0
ol_9953 2000 24 1 1 1 2 1 10 13
ol_9953 2000 0 1 1 -1 2 1 10 13
ol_10356 2000 24 3 5 82 1 1 6 7
ol_10356 2000 0 5 3 -82 1 1 6 7
ol_10466 2000 0 8 2 43 1 1 7 11
ol_10466 2000 24 2 8 -43 1 1 7 11
ol_10480 2000 0 7 1 77 2 1 8 8
ol_10480 2000 24 1 7 -77 2 1 8 8
ol_10884 2000 0 7 1 -45 1 1 9 12
ol_10884 2000 24 1 7 45 1 1 9 12
ol_11120 2000 14 2 2 -34 1 1 10 8
ol_11120 2000 11 2 2 34 1 1 10 8
ol_11144 2000 24 2 2 -20 1 1 9 10
ol_11144 2000 0 2 2 20 1 1 9 10
ol_11220 2000 0 3 1 -39 1 1 8 10
ol_11220 2000 24 1 3 39 1 1 8 10
ol_11310 2000 24 1 1 -8 1 1 8 9
ol_11310 2000 0 1 1 8 1 1 8 9
ol_11336 2000 0 2 2 -18 1 1 9 6
ol_11336 2000 24 1 3 1 1 1 9 6
ol_11336 2000 14 1 3 17 1 1 9 6
ol_11526 2000 24 1 1 -11 1 1 8 12
ol_11526 2000 0 1 1 11 1 1 8 12
ol_11618 2000 22 1 1 0 1 1 9 17
ol_11618 2000 0 1 1 0 1 1 9 17
ol_11650 2000 14 1 1 2 1 1 10 13
ol_11650 2000 0 1 1 -2 1 1 10 13
ol_11762 2000 24 2 2 -2 1 1 10 14
ol_11762 2000 14 2 2 2 1 1 10 14
ol_11856 2000 24 3 1 33 1 1 9 6
ol_11856 2000 0 1 3 -33 1 1 9 6
ol_11867 2000 0 2 2 -34 2 1 10 6
