ID Year weak_two_nv_1st
deal_397 1955 NA
deal_398 1955 NA
deal_399 1955 NA
deal_400 1955 NA
deal_401 1955 NA
deal_402 1955 NA
deal_403 1955 NA
deal_404 1955 NA
deal_405 1955 NA
deal_406 1955 NA
deal_407 1955 NA
deal_408 1955 NA
deal_409 1955 NA
deal_410 1955 NA
deal_411 1955 NA
deal_412 1955 NA
deal_413 1955 NA
deal_414 1955 NA
deal_415 1955 NA
deal_416 1955 NA
deal_417 1955 NA
deal_418 1955 NA
deal_419 1955 NA
deal_420 1955 NA
deal_421 1955 0
deal_422 1955 0
deal_423 1955 NA
deal_424 1955 NA
deal_425 1955 NA
deal_426 1955 NA
deal_427 1955 NA
deal_428 1955 NA
deal_429 1955 NA
deal_430 1955 NA
deal_431 1955 NA
deal_432 1955 NA
deal_433 1955 NA
deal_434 1955 NA
deal_435 1955 NA
deal_436 1955 NA
deal_437 1955 NA
deal_438 1955 NA
deal_439 1955 NA
deal_440 1955 NA
deal_441 1955 NA
deal_442 1955 NA
deal_443 1955 NA
deal_444 1955 NA
deal_445 1955 NA
deal_446 1955 NA
deal_447 1955 NA
deal_448 1955 NA
deal_449 1957 NA
deal_450 1957 NA
deal_451 1957 NA
deal_452 1957 NA
deal_453 1957 NA
deal_454 1957 NA
deal_455 1957 NA
deal_456 1957 NA
deal_457 1957 NA
deal_458 1957 NA
deal_459 1957 NA
deal_460 1957 NA
deal_461 1957 NA
deal_462 1957 NA
deal_463 1957 NA
deal_464 1957 NA
deal_465 1957 NA
deal_466 1957 NA
deal_467 1957 NA
deal_468 1957 NA
deal_469 1957 NA
deal_470 1957 NA
deal_471 1957 2
deal_472 1957 0
deal_473 1957 NA
deal_474 1957 NA
deal_475 1957 NA
deal_476 1957 NA
deal_477 1957 NA
deal_478 1957 NA
deal_479 1957 NA
deal_480 1957 NA
deal_481 1957 NA
deal_482 1957 NA
deal_483 1957 NA
deal_484 1957 NA
deal_485 1957 NA
deal_486 1957 NA
deal_487 1957 NA
deal_488 1957 NA
deal_489 1957 NA
deal_490 1957 NA
deal_491 1957 NA
deal_492 1957 NA
deal_493 1957 NA
deal_494 1957 0
deal_495 1957 0
deal_496 1957 0
deal_497 1957 0
deal_498 1957 NA
deal_499 1957 NA
deal_500 1957 NA
deal_501 1957 NA
deal_502 1957 NA
deal_503 1957 NA
deal_504 1957 NA
deal_505 1957 NA
deal_506 1957 NA
deal_507 1957 NA
deal_508 1957 NA
deal_509 1957 NA
deal_510 1957 NA
deal_511 1957 NA
deal_512 1957 NA
deal_513 1957 NA
deal_514 1957 NA
deal_515 1957 NA
deal_516 1957 NA
deal_517 1957 NA
deal_518 1957 NA
deal_519 1957 NA
deal_520 1957 NA
deal_521 1957 NA
deal_522 1957 NA
deal_523 1957 NA
deal_524 1957 NA
deal_525 1957 NA
deal_526 1957 NA
deal_527 1957 NA
deal_528 1957 NA
deal_529 1957 NA
deal_530 1957 NA
deal_531 1957 NA
deal_532 1957 NA
deal_533 1957 NA
deal_534 1957 NA
deal_535 1957 NA
deal_536 1957 NA
deal_537 1957 NA
deal_538 1957 NA
deal_539 1957 NA
deal_540 1957 NA
deal_541 1957 NA
deal_542 1957 NA
deal_543 1957 NA
deal_544 1957 NA
deal_545 1957 NA
deal_546 1957 NA
deal_547 1957 NA
deal_548 1957 NA
deal_549 1957 NA
deal_550 1957 NA
deal_551 1957 NA
deal_552 1957 NA
deal_553 1957 NA
deal_554 1957 NA
deal_555 1957 NA
deal_556 1957 NA
deal_557 1957 NA
deal_558 1957 NA
deal_559 1957 NA
deal_560 1957 NA
deal_561 1957 NA
deal_562 1957 NA
deal_563 1957 NA
deal_564 1957 NA
deal_565 1957 NA
deal_566 1957 3
deal_567 1957 0
deal_568 1957 NA
deal_569 1957 NA
deal_570 1957 NA
deal_571 1957 NA
deal_572 1957 NA
deal_573 1957 NA
deal_574 1957 NA
deal_575 1957 NA
deal_576 1957 NA
deal_577 1957 NA
deal_578 1957 NA
deal_579 1957 NA
deal_580 1957 NA
deal_581 1957 NA
deal_582 1957 NA
deal_583 1957 NA
deal_584 1957 NA
deal_585 1957 NA
deal_586 1957 NA
deal_587 1957 NA
deal_588 1957 NA
deal_589 1957 NA
deal_590 1957 NA
deal_591 1957 NA
deal_592 1957 NA
deal_593 1957 NA
deal_594 1957 NA
deal_595 1957 NA
deal_596 1957 NA
deal_597 1957 NA
deal_598 1957 NA
deal_599 1957 NA
deal_600 1957 NA
deal_601 1957 NA
deal_602 1957 NA
deal_603 1957 NA
deal_604 1957 NA
deal_605 1957 NA
deal_606 1957 NA
deal_607 1957 NA
deal_608 1957 NA
deal_609 1957 NA
deal_610 1957 NA
deal_611 1957 NA
deal_612 1957 NA
deal_613 1957 NA
deal_614 1957 NA
deal_615 1957 NA
deal_616 1957 NA
deal_617 1957 NA
deal_618 1957 NA
deal_619 1957 NA
deal_620 1957 NA
deal_621 1957 NA
deal_622 1957 NA
deal_623 1957 NA
deal_624 1957 NA
deal_625 1957 NA
deal_626 1957 NA
deal_627 1957 NA
deal_628 1957 NA
deal_629 1957 NA
deal_630 1957 NA
deal_631 1957 NA
deal_632 1957 NA
deal_633 1957 NA
deal_634 1957 0
deal_635 1957 0
deal_636 1957 NA
deal_637 1957 NA
deal_638 1957 NA
deal_639 1957 NA
deal_640 1957 NA
deal_641 1957 NA
deal_642 1957 NA
deal_643 1957 NA
deal_644 1957 NA
deal_645 1957 NA
deal_646 1957 NA
deal_647 1957 NA
deal_648 1957 NA
deal_649 1957 NA
deal_650 1957 NA
deal_651 1957 NA
deal_652 1957 NA
deal_653 1957 NA
deal_654 1957 NA
deal_655 1957 NA
deal_656 1957 NA
deal_657 1957 NA
deal_658 1957 NA
deal_659 1957 NA
deal_660 1957 NA
deal_661 1957 NA
deal_662 1957 NA
deal_663 1957 NA
deal_664 1957 NA
deal_665 1957 NA
deal_666 1957 NA
deal_667 1957 NA
deal_668 1957 NA
deal_669 1957 NA
deal_670 1957 NA
deal_671 1957 NA
deal_672 1957 NA
deal_673 1957 NA
deal_674 1957 NA
deal_675 1957 NA
deal_676 1957 NA
deal_677 1957 NA
deal_678 1957 NA
deal_679 1957 NA
deal_680 1957 NA
deal_681 1957 NA
deal_682 1957 NA
deal_683 1957 NA
deal_684 1957 NA
deal_685 1957 NA
deal_686 1957 NA
deal_687 1957 NA
deal_688 1957 NA
deal_689 1957 NA
deal_690 1957 NA
deal_691 1957 NA
deal_692 1957 NA
deal_693 1957 NA
