ID Year contested_auction
deal_718 1998 1
deal_719 1998 0
deal_720 1998 0
deal_721 1998 0
deal_722 1998 0
deal_723 1998 1
deal_724 1998 1
deal_725 1998 0
deal_726 1998 0
deal_727 1998 1
deal_728 1998 1
deal_729 1998 1
deal_730 1998 1
deal_731 1998 0
deal_732 1998 0
deal_733 1998 0
deal_734 1998 1
deal_735 1998 0
deal_736 1998 0
deal_737 1998 0
deal_738 1998 0
deal_739 1998 0
deal_740 1998 1
deal_741 1998 1
deal_742 1998 0
deal_743 1998 1
deal_744 1998 1
deal_745 1998 1
deal_746 1998 1
deal_747 1998 0
deal_748 1998 0
deal_749 1998 1
deal_750 1998 1
deal_751 1998 0
deal_752 1998 0
deal_753 1998 1
deal_754 1998 1
deal_755 1998 1
deal_756 1998 1
deal_757 1998 0
deal_758 1998 0
deal_759 1998 0
deal_760 1998 0
deal_761 1998 1
deal_762 1998 1
deal_763 1998 0
deal_764 1998 0
deal_766 1998 0
deal_768 1998 1
deal_770 1998 0
deal_771 1998 0
deal_772 1998 0
deal_774 1998 1
deal_776 1998 0
deal_777 1998 0
deal_778 1998 0
deal_780 1998 0
deal_781 1998 0
deal_782 1998 0
deal_784 1998 1
deal_786 1998 0
deal_787 1998 0
deal_788 1998 0
deal_789 1998 0
deal_790 1998 0
deal_792 1998 1
deal_794 1998 0
deal_796 1998 1
deal_798 1998 1
deal_799 1998 1
deal_800 1998 1
deal_801 1998 1
deal_802 1998 0
deal_803 1998 0
deal_804 1998 0
deal_805 1998 0
deal_806 1998 0
deal_807 1998 0
deal_808 1998 1
deal_810 1998 1
deal_811 1998 0
deal_812 1998 0
deal_813 1998 0
deal_814 1998 0
deal_816 1998 0
deal_818 1998 1
deal_819 1998 0
deal_820 1998 0
deal_821 1998 0
deal_822 1998 1
deal_824 1998 0
deal_826 1998 0
deal_828 1998 0
deal_830 1998 1
deal_832 1998 1
deal_834 1998 0
deal_835 1998 0
deal_836 1998 0
deal_838 1998 1
deal_840 1998 1
deal_842 1998 0
deal_843 1998 0
deal_844 1998 0
deal_846 1998 0
deal_847 1998 1
deal_848 1998 0
deal_850 1998 0
deal_852 1998 1
deal_854 1998 0
deal_856 1998 0
deal_858 1998 1
deal_860 1998 0
deal_862 1998 1
deal_864 1998 1
deal_866 1998 1
deal_868 1998 1
deal_870 1998 1
deal_872 1998 1
deal_874 1998 1
deal_876 1998 1
deal_878 1998 1
deal_880 1998 0
deal_881 1998 0
deal_882 1998 0
deal_883 1998 0
deal_884 1998 0
deal_886 1998 1
deal_888 1998 0
deal_889 1998 0
deal_890 1998 0
deal_891 1998 0
deal_892 1998 1
deal_894 1998 0
deal_896 1998 1
deal_898 1998 1
deal_899 1998 0
deal_900 1998 0
deal_901 1998 0
deal_902 1998 1
deal_904 1998 1
deal_905 1998 0
deal_906 1998 0
deal_908 1998 0
deal_909 1998 0
deal_910 1998 0
deal_912 1998 0
deal_914 1998 0
deal_916 1998 0
deal_917 1998 0
deal_918 1998 0
deal_920 1998 1
deal_922 1998 1
deal_924 1998 0
deal_926 1998 1
deal_928 1998 1
deal_929 1998 1
deal_930 1998 0
deal_931 1998 0
deal_932 1998 0
deal_934 1998 0
deal_935 1998 0
deal_936 1998 1
deal_938 1998 1
deal_939 1998 0
deal_940 1998 0
deal_941 1998 0
deal_943 1998 0
deal_945 1998 1
deal_946 1998 0
deal_947 1998 1
deal_948 1998 0
deal_949 1998 0
deal_951 1998 0
deal_953 1998 0
deal_955 1998 1
deal_957 1998 1
deal_959 1998 0
deal_960 1998 0
deal_961 1998 0
deal_962 1998 0
deal_963 1998 0
deal_965 1998 1
deal_967 1998 1
deal_969 1998 0
deal_970 1998 0
deal_971 1998 0
deal_973 1998 0
deal_974 1998 0
deal_975 1998 0
deal_977 1998 0
deal_979 1998 1
deal_981 1998 0
deal_983 1998 0
deal_985 1998 1
deal_987 1998 0
deal_989 1998 0
deal_991 1998 1
deal_993 1998 1
deal_995 1998 1
deal_996 1998 0
deal_997 1998 0
deal_998 1998 0
deal_999 1998 1
deal_1001 1998 1
deal_1003 1998 1
deal_1004 1998 0
deal_1005 1998 0
deal_1006 1998 0
deal_1007 1998 0
deal_1008 1998 0
deal_1009 1998 0
deal_1010 1998 0
deal_1011 1998 1
deal_1013 1998 1
deal_1014 1998 0
deal_1016 1998 1
deal_1017 1999 1
deal_1018 1999 1
deal_1019 1999 1
deal_1020 1999 1
deal_1021 1999 0
deal_1022 1999 0
deal_1023 1999 0
deal_1024 1999 0
deal_1025 1999 1
deal_1026 1999 0
deal_1027 1999 0
deal_1028 1999 0
deal_1029 1999 0
deal_1030 1999 0
deal_1031 1999 0
deal_1032 1999 0
deal_1033 1999 1
deal_1034 1999 0
deal_1035 1999 1
deal_1036 1999 1
deal_1037 1999 0
deal_1038 1999 1
deal_1039 1999 1
deal_1040 1999 1
deal_1041 1999 1
deal_1042 1999 1
deal_1043 1999 1
deal_1044 1999 1
deal_1045 1999 0
deal_1046 1999 1
deal_1047 1999 1
deal_1048 1999 1
deal_1049 1999 1
deal_1050 1999 1
deal_1051 1999 1
deal_1052 1999 0
deal_1053 1999 1
deal_1054 1999 1
deal_1055 1999 0
deal_1056 1999 0
deal_1057 1999 1
deal_1058 1999 1
deal_1059 1999 1
deal_1060 1999 1
deal_1061 1999 1
deal_1062 1999 1
deal_1063 1999 0
deal_1064 1999 1
deal_1065 1999 0
deal_1066 1999 0
deal_1067 1999 1
deal_1068 1999 1
deal_1070 1999 1
deal_1071 1999 1
deal_1072 1999 1
deal_1073 1999 1
deal_1074 1999 1
deal_1075 1999 1
deal_1076 1999 1
deal_1077 1999 0
deal_1078 1999 0
deal_1079 1999 1
deal_1080 1999 1
deal_1081 1999 1
deal_1082 1999 1
deal_1083 1999 0
deal_1084 1999 0
deal_1085 1999 1
deal_1086 1999 1
deal_1087 1999 0
deal_1088 1999 0
deal_1089 1999 0
deal_1090 1999 1
deal_1091 1999 0
deal_1092 1999 0
deal_1093 1999 1
deal_1094 1999 1
deal_1095 1999 0
deal_1096 1999 0
deal_1097 1999 1
deal_1098 1999 0
deal_1099 1999 1
deal_1100 1999 1
deal_1101 1999 1
deal_1102 1999 1
deal_1103 1999 0
deal_1104 1999 0
deal_1105 1999 0
deal_1106 1999 0
deal_1107 1999 0
deal_1108 1999 0
deal_1109 1999 1
deal_1110 1999 1
deal_1111 1999 1
deal_1112 1999 1
deal_1113 1999 1
deal_1114 1999 0
deal_1115 1999 0
deal_1116 1999 0
deal_1117 1999 1
deal_1118 1999 1
deal_1119 1999 0
deal_1120 1999 0
deal_1121 1999 0
deal_1122 1999 0
deal_1123 1999 0
deal_1124 1999 0
deal_1125 1999 0
deal_1126 1999 0
deal_1127 1999 0
deal_1128 1999 1
deal_1129 1999 0
deal_1130 1999 0
deal_1131 1999 1
deal_1132 1999 1
deal_1133 1999 0
deal_1134 1999 1
deal_1135 1999 1
deal_1136 1999 0
deal_1137 1999 0
deal_1138 1999 1
deal_1139 1999 0
deal_1140 1999 1
deal_1141 1999 1
deal_1142 1999 0
deal_1143 1999 0
deal_1144 1999 1
deal_1145 1999 1
deal_1146 1999 0
deal_1147 1999 0
deal_1148 1999 0
deal_1149 1999 0
deal_1150 1999 0
deal_1151 1999 0
deal_1152 1999 1
deal_1153 1999 1
deal_1154 1999 0
deal_1155 1999 1
deal_1156 1999 1
deal_1157 1999 1
deal_1158 1999 1
deal_1159 1999 0
deal_1160 1999 1
deal_1161 1999 1
deal_1162 1999 1
deal_1163 1999 1
deal_1164 1999 1
deal_1165 1999 1
deal_1166 1999 0
deal_1167 1999 0
deal_1168 1999 0
deal_1169 1999 1
deal_1170 1999 0
deal_1171 1999 1
deal_1172 1999 1
deal_1173 1999 1
deal_1174 1999 0
deal_1175 1999 0
deal_1176 1999 1
deal_1177 1999 0
deal_1178 1999 0
deal_1179 1999 0
deal_1180 1999 1
deal_1181 1999 1
deal_1182 1999 0
deal_1183 1999 0
deal_1184 1999 0
deal_1185 1999 0
deal_1186 1999 1
deal_1187 1999 1
deal_1188 1999 0
deal_1189 1999 1
deal_1190 1999 1
deal_1191 1999 1
deal_1192 1999 0
deal_1193 1999 0
deal_1194 1999 1
deal_1195 1999 0
deal_1196 1999 1
deal_1197 1999 1
deal_1198 1999 1
deal_1199 1999 1
deal_1200 1999 0
deal_1201 1999 0
deal_1202 1999 0
deal_1203 1999 0
deal_1204 1999 1
deal_1205 1999 1
deal_1206 1999 1
deal_1207 1999 1
deal_1208 1999 0
deal_1209 1999 0
deal_1210 1999 1
deal_1211 1999 1
deal_1212 1999 0
deal_1213 1999 0
deal_1214 1999 1
deal_1215 1999 1
deal_1216 1999 0
deal_1217 1999 1
deal_1218 1999 0
deal_1219 1999 0
deal_1220 1999 1
deal_1221 1999 1
deal_1222 1999 0
deal_1223 1999 1
deal_1224 1999 0
deal_1225 1999 0
deal_1226 1999 1
deal_1227 1999 1
deal_1228 2000 1
deal_1229 2000 0
deal_1230 2000 1
deal_1231 2000 1
deal_1232 2000 1
deal_1233 2000 0
deal_1234 2000 1
deal_1235 2000 0
deal_1236 2000 1
deal_1237 2000 1
deal_1238 2000 0
deal_1239 2000 0
deal_1240 2000 0
deal_1241 2000 0
deal_1242 2000 1
deal_1243 2000 1
deal_1244 2000 0
deal_1245 2000 0
deal_1246 2000 1
deal_1247 2000 1
deal_1248 2000 0
deal_1249 2000 0
deal_1250 2000 0
deal_1251 2000 0
deal_1252 2000 0
deal_1253 2000 0
deal_1254 2000 1
deal_1255 2000 1
deal_1256 2000 1
deal_1257 2000 1
deal_1258 2000 0
deal_1259 2000 1
deal_1261 2000 0
deal_1262 2000 1
deal_1263 2000 1
deal_1264 2000 1
deal_1265 2000 1
deal_1266 2000 1
deal_1267 2000 1
deal_1268 2000 0
deal_1269 2000 0
deal_1270 2000 1
deal_1271 2000 1
deal_1272 2000 0
deal_1273 2000 0
deal_1274 2000 0
deal_1275 2000 0
deal_1276 2000 1
deal_1277 2000 0
deal_1278 2000 0
deal_1279 2000 0
deal_1280 2000 1
deal_1281 2000 1
deal_1282 2000 0
deal_1283 2000 0
deal_1284 2000 0
deal_1285 2000 1
deal_1286 2000 0
deal_1287 2000 0
deal_1288 2000 1
deal_1289 2000 1
deal_1290 2000 0
deal_1291 2000 0
deal_1292 2000 0
deal_1293 2000 1
deal_1294 2000 0
deal_1295 2000 1
deal_1296 2000 0
deal_1297 2000 0
deal_1298 2000 0
deal_1299 2000 1
deal_1300 2000 0
deal_1301 2000 0
deal_1302 2000 0
deal_1303 2000 1
deal_1304 2000 1
deal_1305 2000 1
deal_1306 2000 0
deal_1307 2000 1
deal_1308 2000 1
deal_1309 2000 0
deal_1310 2000 1
deal_1311 2000 1
deal_1312 2000 0
deal_1313 2000 0
deal_1314 2000 1
deal_1315 2000 1
deal_1316 2000 0
deal_1317 2000 0
deal_1318 2000 1
deal_1319 2000 1
deal_1320 2000 1
deal_1321 2000 1
deal_1322 2000 1
deal_1323 2000 1
deal_1324 2000 0
deal_1325 2000 0
deal_1326 2000 0
deal_1327 2000 0
deal_1329 2000 0
deal_1330 2000 0
deal_1331 2000 0
deal_1332 2000 1
deal_1333 2000 1
deal_1334 2000 0
deal_1335 2000 1
deal_1336 2000 1
deal_1337 2000 0
deal_1338 2000 1
deal_1339 2000 0
deal_1340 2000 0
deal_1341 2000 1
deal_1342 2000 1
deal_1343 2000 1
deal_1344 2000 1
deal_1345 2000 0
deal_1346 2000 0
deal_1347 2000 0
deal_1348 2000 1
deal_1349 2000 1
deal_1350 2000 1
deal_1351 2000 0
deal_1352 2000 0
deal_1353 2000 1
deal_1354 2000 1
deal_1355 2000 1
deal_1356 2001 0
deal_1357 2001 0
deal_1358 2001 0
deal_1359 2001 0
deal_1360 2001 0
deal_1361 2001 0
deal_1362 2001 1
deal_1363 2001 1
deal_1364 2001 0
deal_1365 2001 0
deal_1366 2001 0
deal_1367 2001 0
deal_1368 2001 0
deal_1369 2001 1
deal_1370 2001 1
deal_1371 2001 1
deal_1372 2001 0
deal_1373 2001 0
deal_1374 2001 0
deal_1375 2001 0
deal_1376 2001 1
deal_1377 2001 1
deal_1378 2001 0
deal_1379 2001 0
deal_1380 2001 1
deal_1381 2001 1
deal_1382 2001 0
deal_1383 2001 0
deal_1384 2001 1
deal_1385 2001 1
deal_1386 2001 0
deal_1387 2001 0
deal_1388 2001 1
deal_1389 2001 0
deal_1390 2001 1
deal_1391 2001 1
deal_1392 2001 0
deal_1393 2001 0
deal_1394 2001 0
deal_1395 2001 0
deal_1396 2001 0
deal_1397 2001 0
deal_1398 2001 1
deal_1399 2001 1
deal_1400 2001 0
deal_1401 2001 1
deal_1402 2001 1
deal_1403 2001 1
deal_1404 2001 0
deal_1405 2001 0
deal_1406 2001 0
deal_1407 2001 1
deal_1408 2001 0
deal_1409 2001 0
deal_1410 2001 0
deal_1411 2001 0
deal_1412 2001 0
deal_1413 2001 0
deal_1414 2001 1
deal_1415 2001 1
deal_1416 2001 1
deal_1417 2001 1
deal_1418 2001 1
deal_1419 2001 1
deal_1420 2001 0
deal_1421 2001 1
deal_1422 2001 0
deal_1423 2001 0
deal_1424 2001 1
deal_1425 2001 0
deal_1426 2001 1
deal_1427 2001 1
deal_1428 2001 0
deal_1429 2001 0
deal_1430 2001 1
deal_1431 2001 1
deal_1432 2001 0
deal_1433 2001 0
deal_1434 2001 1
deal_1435 2001 1
deal_1436 2001 0
deal_1437 2001 0
deal_1438 2001 1
deal_1439 2001 1
deal_1440 2001 1
deal_1441 2001 1
deal_1442 2001 0
deal_1443 2001 0
deal_1444 2001 1
deal_1445 2001 1
deal_1446 2001 1
deal_1447 2001 1
deal_1448 2001 1
deal_1449 2001 1
deal_1450 2001 1
deal_1451 2001 1
deal_1452 2001 0
deal_1453 2001 0
deal_1454 2001 1
