id year lvalue
bb_410 1955 0
bb_411 1955 0
bb_412 1955 4
bb_413 1955 0
bb_414 1955 0
bb_415 1955 0
bb_416 1955 0
bb_417 1955 0
bb_418 1955 0
bb_419 1955 0
bb_420 1955 0
bb_421 1955 0
bb_422 1955 0
bb_423 1955 0
bb_424 1955 0
bb_425 1955 0
bb_426 1955 0
bb_427 1955 0
bb_428 1955 0
bb_429 1955 0
bb_430 1955 0
bb_431 1955 0
bb_432 1955 0
bb_433 1955 0
bb_434 1955 0
bb_435 1955 0
bb_436 1955 0
bb_437 1955 0
bb_438 1955 0
bb_439 1955 0
bb_440 1955 2
bb_441 1955 0
bb_442 1955 0
bb_443 1955 0
bb_444 1955 4
bb_445 1955 0
bb_446 1955 0
bb_447 1955 0
bb_448 1955 0
bb_449 1957 0
bb_450 1957 0
bb_451 1957 0
bb_452 1957 0
bb_453 1957 0
bb_454 1957 0
bb_455 1957 0
bb_456 1957 0
bb_457 1957 0
bb_458 1957 0
bb_459 1957 0
bb_460 1957 0
bb_461 1957 4
bb_462 1957 4
bb_463 1957 0
bb_464 1957 0
bb_465 1957 0
bb_466 1957 0
bb_467 1957 0
bb_468 1957 0
bb_469 1957 0
bb_470 1957 0
bb_471 1957 4
bb_472 1957 0
bb_473 1957 0
bb_474 1957 0
bb_475 1957 0
bb_476 1957 0
bb_477 1957 0
bb_478 1957 0
bb_479 1957 0
bb_480 1957 0
bb_481 1957 0
bb_482 1957 0
bb_483 1957 0
bb_484 1957 4
bb_485 1957 0
bb_486 1957 0
bb_487 1957 0
bb_488 1957 0
bb_489 1957 0
bb_490 1957 0
bb_491 1957 0
bb_492 1957 0
bb_493 1957 0
bb_494 1957 0
bb_495 1957 0
bb_496 1957 0
bb_497 1957 0
bb_498 1957 0
bb_499 1957 0
bb_500 1957 0
bb_501 1957 0
bb_502 1957 0
bb_503 1957 0
bb_504 1957 0
bb_505 1957 0
bb_506 1957 3
bb_507 1957 4
bb_508 1957 0
bb_509 1957 0
bb_510 1957 0
bb_511 1957 0
bb_512 1957 0
bb_513 1957 0
bb_514 1957 0
bb_515 1957 0
bb_516 1957 0
bb_517 1957 0
bb_518 1957 0
bb_519 1957 0
bb_520 1957 0
bb_521 1957 0
bb_522 1957 0
bb_523 1957 0
bb_524 1957 4
bb_525 1957 0
bb_526 1957 0
bb_527 1957 0
bb_528 1957 0
bb_529 1957 0
bb_530 1957 0
bb_531 1957 0
bb_532 1957 0
bb_533 1957 0
bb_534 1957 0
bb_535 1957 0
bb_536 1957 0
bb_537 1957 0
bb_538 1957 0
bb_539 1957 0
bb_540 1957 3
bb_541 1957 0
bb_542 1957 0
bb_543 1957 0
bb_544 1957 0
bb_545 1957 0
bb_546 1957 0
bb_547 1957 0
bb_548 1957 0
bb_549 1957 0
bb_550 1957 0
bb_551 1957 0
bb_552 1957 0
bb_553 1957 0
bb_554 1957 0
bb_555 1957 0
bb_556 1957 0
bb_557 1957 0
bb_558 1957 0
bb_559 1957 0
bb_560 1957 0
bb_561 1957 0
bb_562 1957 0
bb_563 1957 0
bb_564 1957 0
bb_565 1957 0
bb_566 1957 3
bb_567 1957 0
bb_568 1957 0
bb_569 1957 4
bb_570 1957 0
bb_571 1957 0
bb_572 1957 0
bb_573 1957 0
bb_574 1957 0
bb_575 1957 0
bb_576 1957 0
bb_577 1957 0
bb_578 1957 0
bb_579 1957 0
bb_580 1957 0
bb_581 1957 0
bb_582 1957 0
bb_583 1957 0
bb_584 1957 0
bb_585 1957 0
bb_586 1957 0
bb_587 1957 0
bb_588 1957 0
bb_589 1957 0
bb_590 1957 0
bb_591 1957 0
bb_592 1957 0
bb_593 1957 0
bb_594 1957 0
bb_595 1957 0
bb_596 1957 0
bb_597 1957 0
bb_598 1957 0
bb_599 1957 0
bb_600 1957 0
bb_601 1957 0
bb_602 1957 0
bb_603 1957 0
bb_604 1957 0
bb_605 1957 0
bb_606 1957 0
bb_607 1957 0
bb_608 1957 0
bb_609 1957 0
bb_610 1957 6
bb_611 1957 3
bb_612 1957 0
bb_613 1957 0
bb_614 1957 0
bb_615 1957 0
bb_616 1957 0
bb_617 1957 0
bb_618 1957 0
bb_619 1957 0
bb_620 1957 4
bb_621 1957 0
bb_622 1957 4
bb_623 1957 0
bb_624 1957 0
bb_625 1957 0
bb_626 1957 0
bb_627 1957 0
bb_628 1957 0
bb_629 1957 0
bb_630 1957 0
bb_631 1957 0
bb_632 1957 0
bb_633 1957 4
bb_634 1957 4
bb_635 1957 5
bb_636 1957 0
bb_637 1957 0
bb_638 1957 3
bb_639 1957 4
bb_640 1957 0
bb_641 1957 0
bb_642 1957 0
bb_643 1957 0
bb_644 1957 0
bb_645 1957 0
bb_646 1957 0
bb_647 1957 0
bb_648 1957 0
bb_649 1957 0
bb_650 1957 0
bb_651 1957 0
bb_652 1957 0
bb_653 1957 0
bb_654 1957 4
bb_655 1957 0
bb_656 1957 0
bb_657 1957 0
bb_658 1957 0
bb_659 1957 0
bb_660 1957 0
bb_661 1957 0
bb_662 1957 0
bb_663 1957 0
bb_664 1957 0
bb_665 1957 0
bb_666 1957 0
bb_667 1957 0
bb_668 1957 0
bb_669 1957 0
bb_670 1957 0
bb_671 1957 0
bb_672 1957 0
bb_673 1957 0
bb_674 1957 0
bb_675 1957 0
bb_676 1957 0
bb_677 1957 0
bb_678 1957 0
bb_679 1957 0
bb_680 1957 0
bb_681 1957 0
bb_682 1957 4
bb_683 1957 0
bb_684 1957 0
bb_685 1957 0
bb_686 1957 0
bb_687 1957 0
bb_688 1957 0
bb_689 1957 0
bb_690 1957 0
bb_691 1957 0
bb_692 1957 0
bb_693 1957 0
bb_694 1957 0
bb_695 1957 4
bb_696 1957 0
bb_697 1957 0
bb_698 1957 0
bb_699 1957 0
bb_700 1957 0
bb_701 1957 0
bb_702 1957 0
bb_703 1957 0
bb_704 1957 0
bb_705 1957 0
bb_706 1957 0
bb_707 1957 0
bb_708 1957 0
bb_709 1957 0
bb_710 1957 0
bb_711 1957 0
bb_712 1957 0
bb_713 1957 4
bb_714 1957 3
bb_715 1957 0
bb_716 1957 0
bb_717 1957 0
bb_718 1957 0
bb_719 1957 0
bb_720 1957 0
bb_721 1957 0
bb_722 1957 0
bb_723 1957 0
bb_724 1957 4
bb_725 1957 0
bb_726 1957 0
bb_727 1957 0
bb_728 1957 0
bb_729 1957 0
bb_730 1957 0
bb_731 1957 0
bb_732 1957 0
bb_733 1957 0
bb_734 1957 0
bb_735 1957 0
bb_736 1957 4
bb_737 1957 0
bb_738 1957 0
bb_739 1957 0
bb_740 1957 0
bb_741 1957 0
bb_742 1957 0
bb_743 1957 0
bb_744 1957 0
bb_745 1957 0
bb_746 1957 0
bb_747 1957 0
bb_748 1957 0
bb_749 1957 0
bb_750 1957 0
bb_751 1957 0
bb_752 1957 0
bb_753 1957 0
